moNo,crime,moBin
217,AGG DWI:1 PRIOR CONV-10 YRS|E,4
217,AGG DWI:2 PRIOR CONV-10 YRS|D,3
217,AGG DWI:W/CHILD|E,1
217,AGG UNLIC OPER MV 1ST|E,3
217,AGGRAVATED CRIM CONTEMPT|D,3
217,AGGRAVATED FAMILY OFFENSE|E,3
217,AGGRAVATED SEXUAL ABUSE 3RD|D,1
217,AGGRAVATED VEHICULAR HOMICIDE|B,3
217,ARSON 2ND|B,2
217,ARSON 3RD|C,3
217,ASSAULT 1ST|B,8
217,ASSAULT 2ND|D,33
217,ATT ARSON 2ND|C,2
217,ATT ASSAULT 1ST|C,12
217,ATT ASSAULT 2ND|E,12
217,ATT BURGLARY 1ST|C,4
217,ATT BURGLARY 2ND SUB 2|D,24
217,ATT BURGLARY 2ND|D,1
217,ATT BURGLARY 3RD|E,10
217,ATT CRIM POSS CONTR SUBSTANCE 1ST|A1,1
217,ATT CRIM POSS CONTR SUBSTANCE 3RD|C,16
217,ATT CRIM POSS CONTR SUBSTANCE 4TH|D,3
217,ATT CRIM POSS CONTR SUBSTANCE 5TH|E,5
217,ATT CRIM POSS FORGED INST 2ND|E,2
217,ATT CRIM POSS STOLEN PROP 3RD|E,1
217,ATT CRIM POSS WEAP 2ND|D,35
217,ATT CRIM POSS WEAP 3RD SUB 1 2 3|E,2
217,ATT CRIM SALE CONTR SUBSTANCE 3RD|C,14
217,ATT CRIM SALE FIREARM 3RD|E,1
217,ATT CRIM SEXUAL ACT 1ST|C,2
217,ATT CRIM SEXUAL ACT 2ND|E,2
217,ATT GRAND LARCENY - NOT AUTO 2ND|D,1
217,ATT GRAND LARCENY - NOT AUTO 3RD|E,1
217,ATT IDENTITY THEFT 1ST|E,1
217,ATT MURDER 2ND|B,11
217,ATT PROM PRISON CONTRABAND 1ST|E,1
217,ATT PROM SEXUAL PERF BY A CHILD|E,1
217,ATT RAPE 1ST|C,3
217,ATT RAPE 2ND|E,2
217,ATT RECKLESS ENDANGERMENT 1ST|E,1
217,ATT ROBBERY 1ST|C,15
217,ATT ROBBERY 2ND SUB 1|D,7
217,ATT ROBBERY 2ND SUB 2 3|D,7
217,ATT ROBBERY 2ND|D,2
217,ATT ROBBERY 3RD|E,6
217,ATT SEXUAL ABUSE 1ST|E,1
217,ATT STRANGULATION 2ND|E,1
217,BAIL JUMPING 2ND|E,2
217,BURGLARY 1ST|B,7
217,BURGLARY 2ND SUB 1|C,2
217,BURGLARY 2ND SUB 2|C,18
217,BURGLARY 3RD|D,39
217,COERCION 1ST|D,1
217,COMMERCIAL BRIBE REC 1ST|E,1
217,CONSPIRACY 2ND|B,7
217,CONSPIRACY 3RD|D,1
217,CONSPIRACY 4TH|E,2
217,COURSE SEX CONDUCT-CHILD 1ST|B,4
217,COURSE SEX CONDUCT-CHILD 2ND|D,3
217,CRIM CONTEMPT 1ST|E,7
217,CRIM MISCHIEF 3RD|E,3
217,CRIM NEGLIGENT HOMICIDE|E,2
217,CRIM POSS CONTR SUBSTANCE 1ST|A1,1
217,CRIM POSS CONTR SUBSTANCE 2ND|A2,24
217,CRIM POSS CONTR SUBSTANCE 3RD|B,74
217,CRIM POSS CONTR SUBSTANCE 4TH|C,10
217,CRIM POSS CONTR SUBSTANCE 5TH|D,17
217,CRIM POSS FIREARM|E,3
217,CRIM POSS FORGED INST 2ND|D,8
217,CRIM POSS FORGERY DEVICES|D,1
217,CRIM POSS MARIHUANA 1ST|C,1
217,CRIM POSS MARIHUANA 3RD|E,3
217,CRIM POSS STOLEN PROP 2ND|C,1
217,CRIM POSS STOLEN PROP 3RD|D,6
217,CRIM POSS STOLEN PROP 4TH|E,7
217,CRIM POSS WEAP 2ND|C,37
217,CRIM POSS WEAP 3RD SUB 1 2 3|D,8
217,CRIM POSS WEAP 3RD SUB 4-8 VFO|D,1
217,CRIM SALE CONTR SUBS - SCHOOL|B,1
217,CRIM SALE CONTR SUBSTANCE 2ND|A2,7
217,CRIM SALE CONTR SUBSTANCE 3RD|B,68
217,CRIM SALE CONTR SUBSTANCE 5TH|D,16
217,CRIM SALE FIREARM 1ST|B,2
217,CRIM SALE FIREARM 2ND|C,1
217,CRIM SEXUAL ACT 1ST|B,4
217,CRIM SEXUAL ACT 2ND|D,2
217,DRIV IMP/DRUGS-2ND OFFENSE|E,1
217,DWI:ALCOHOL/DRUGS-2ND OFFENSE|E,13
217,DWI:ALCOHOL/DRUGS-3RD OFFENSE|D,8
217,ENTERPRISE CORRUPTION|B,8
217,FORGERY 2ND|D,3
217,GANG ASSAULT 1ST|B,1
217,GRAND LARCENY - AUTO 2ND|C,1
217,GRAND LARCENY - AUTO 3RD|D,1
217,GRAND LARCENY - NOT AUTO 1ST|B,2
217,GRAND LARCENY - NOT AUTO 2ND|C,6
217,GRAND LARCENY - NOT AUTO 3RD (HATE CRIME)|C,1
217,GRAND LARCENY - NOT AUTO 3RD|D,9
217,GRAND LARCENY - NOT AUTO 4TH|E,14
217,IDENTITY THEFT 1ST|D,2
217,KIDNAPPING 2ND|B,1
217,LV SCENE OF ACCIDENT - DEATH|D,1
217,MANSLAUGHTER 1ST|B,17
217,MANSLAUGHTER 2ND|C,7
217,MURDER 2ND|A1,10
217,OPERATE MAJOR DRUG TRAFFICKER|A1,1
217,POSS A SEX PERF BY A CHILD|E,1
217,PROM PRISON CONTRABAND 1ST|D,2
217,PROM SEXUAL PERF BY A CHILD|D,3
217,RAPE 1ST|B,3
217,RAPE 2ND|D,10
217,RAPE 3RD|E,2
217,RECKLESS ENDANGERMENT 1ST|D,2
217,ROBBERY 1ST|B,18
217,ROBBERY 2ND SUB 1|C,6
217,ROBBERY 2ND SUB 2 3|C,10
217,ROBBERY 3RD|D,15
217,SCHEME TO DEFRAUD 1ST|E,1
217,SEX OFF REG VIOL-1ST OFFENSE|E,1
217,SEX OFF REG VIOL-2ND OFFENSE|D,4
217,SEXUAL ABUSE 1ST|D,12
217,STRANGULATION 2ND|D,3
