moNo,crime,moBin
1,AGG UNLIC OPER MV 1ST|E,1
1,AGGRAVATED CRIM CONTEMPT|D,1
1,ARSON 2ND|B,1
1,ASSAULT 1ST|B,10
1,ASSAULT 2ND|D,12
1,ATT ARSON 2ND|C,1
1,ATT ASSAULT 1ST|C,5
1,ATT ASSAULT 2ND|E,4
1,ATT BURGLARY 1ST|C,2
1,ATT BURGLARY 2ND|D,15
1,ATT BURGLARY 3RD|E,10
1,ATT CRIM POSS CONTR SUBSTANCE 3RD|C,21
1,ATT CRIM POSS CONTR SUBSTANCE 4TH|D,5
1,ATT CRIM POSS CONTR SUBSTANCE 5TH|E,12
1,ATT CRIM POSS FORGED INST 2ND|E,5
1,ATT CRIM POSS WEAP 2ND|D,1
1,ATT CRIM POSS WEAP 3RD SUB 1 2 3|E,2
1,ATT CRIM POSS WEAP 3RD SUB 4-8 VFO|E,4
1,ATT CRIM SALE CONTR SUBSTANCE 3RD|C,81
1,ATT CRIM SALE CONTR SUBSTANCE 4TH|D,1
1,ATT CRIM SALE CONTR SUBSTANCE 5TH|E,16
1,ATT FORGERY 2ND|E,2
1,ATT GRAND LARCENY - AUTO 3RD|E,2
1,ATT JO - MURDER 2ND|B,1
1,ATT KIDNAPPING 2ND|C,2
1,ATT MANSLAUGHTER 1ST|C,1
1,ATT MURDER 1ST|A1,1
1,ATT MURDER 2ND|B,7
1,ATT PROM PRISON CONTRABAND 1ST|E,1
1,ATT RECKLESS ENDANGERMENT 1ST|E,2
1,ATT ROBBERY 1ST|C,19
1,ATT ROBBERY 2ND|D,14
1,ATT ROBBERY 3RD|E,4
1,ATT SEXUAL ABUSE 1ST|E,5
1,ATT SODOMY 1ST|C,1
1,AUTO STRIPPING 2ND|E,4
1,BAIL JUMPING 1ST|D,1
1,BAIL JUMPING 2ND|E,1
1,BURGLARY 1ST|B,5
1,BURGLARY 2ND SUB 2|C,1
1,BURGLARY 2ND|C,20
1,BURGLARY 3RD|D,30
1,COERCION 1ST|D,1
1,COMMERCIAL BRIBE REC 1ST|E,1
1,CONSPIRACY 2ND|B,7
1,CONSPIRACY 4TH|E,1
1,COURSE SEX CONDUCT-CHILD 1ST|B,1
1,CRIM CONTEMPT 1ST|E,7
1,CRIM NEGLIGENT HOMICIDE|E,1
1,CRIM POSS CONTR SUBSTANCE 1ST|A1,1
1,CRIM POSS CONTR SUBSTANCE 2ND|A2,22
1,CRIM POSS CONTR SUBSTANCE 3RD|B,45
1,CRIM POSS CONTR SUBSTANCE 4TH|C,8
1,CRIM POSS CONTR SUBSTANCE 5TH|D,37
1,CRIM POSS FORGED INST 2ND|D,5
1,CRIM POSS MARIHUANA 2ND|D,3
1,CRIM POSS STOLEN PROP 2ND|C,1
1,CRIM POSS STOLEN PROP 3RD|D,9
1,CRIM POSS STOLEN PROP 4TH|E,14
1,CRIM POSS WEAP 2ND|C,4
1,CRIM POSS WEAP 3RD SUB 1 2 3|D,3
1,CRIM POSS WEAP 3RD SUB 4-8 VFO|D,10
1,CRIM SALE CONTR SUBS - SCHOOL|B,8
1,CRIM SALE CONTR SUBSTANCE 2ND|A2,21
1,CRIM SALE CONTR SUBSTANCE 3RD|B,93
1,CRIM SALE CONTR SUBSTANCE 4TH|C,2
1,CRIM SALE CONTR SUBSTANCE 5TH|D,81
1,CRIM USE OF FIREARMS 1ST|B,1
1,DRIV IMP/DRUGS-2ND OFFENSE|E,2
1,DWI:ALCOHOL/DRUGS-2ND OFFENSE|E,16
1,DWI:ALCOHOL/DRUGS-3RD OFFENSE|D,1
1,ENTERPRISE CORRUPTION|B,1
1,FORGERY 1ST|C,1
1,FORGERY 2ND|D,3
1,FORGERY OF VEHICLE ID. NUMBER|E,1
1,GRAND LARCENY - AUTO 3RD|D,3
1,GRAND LARCENY - AUTO 4TH|E,5
1,GRAND LARCENY - NOT AUTO 2ND|C,4
1,GRAND LARCENY - NOT AUTO 3RD|D,4
1,GRAND LARCENY - NOT AUTO 4TH|E,19
1,INCEST|E,1
1,JO - MURDER 2ND|A1,1
1,JO - ROBBERY 1ST|B,1
1,MANSLAUGHTER 1ST|B,9
1,MANSLAUGHTER 2ND|C,3
1,MURDER 1ST|A1,2
1,MURDER 2ND|A1,20
1,OFFER FALSE INST FILING 1ST|E,2
1,PERJURY 1ST|D,1
1,PROM SEXUAL PERF BY A CHILD|D,1
1,RAPE 1ST|B,4
1,RAPE 2ND|D,1
1,RAPE 3RD|E,2
1,RECKLESS ENDANGERMENT 1ST|D,3
1,ROBBERY 1ST|B,22
1,ROBBERY 2ND SUB 2 3|C,1
1,ROBBERY 2ND|C,11
1,ROBBERY 3RD|D,15
1,SEXUAL ABUSE 1ST|D,19
1,SODOMY 1ST|B,6
1,SODOMY 2ND|D,3
1,SODOMY 3RD|E,2
1,TRADEMARK COUNTERFEITING 2ND|E,1
1,VEHICULAR MANSLAUGHTER 2ND|D,1
2,AGG UNLIC OPER MV 1ST|E,2
2,AGGRAVATED CRIM CONTEMPT|D,1
2,ARSON 2ND|B,2
2,ARSON 3RD|C,1
2,ASSAULT 1ST|B,7
2,ASSAULT 2ND|D,11
2,ATT ASSAULT 1ST|C,5
2,ATT ASSAULT 2ND|E,9
2,ATT BAIL JUMPING 1ST|E,1
2,ATT BURGLARY 1ST|C,2
2,ATT BURGLARY 2ND|D,12
2,ATT BURGLARY 3RD|E,14
2,ATT CONSPIRACY 2ND|C,1
2,ATT CRIM POSS CONTR SUBSTANCE 3RD|C,12
2,ATT CRIM POSS CONTR SUBSTANCE 4TH|D,8
2,ATT CRIM POSS CONTR SUBSTANCE 5TH|E,20
2,ATT CRIM POSS FORGED INST 2ND|E,3
2,ATT CRIM POSS STOLEN PROP 3RD|E,1
2,ATT CRIM POSS WEAP 2ND|D,1
2,ATT CRIM POSS WEAP 3RD SUB 1 2 3|E,3
2,ATT CRIM POSS WEAP 3RD SUB 4-8 VFO|E,5
2,ATT CRIM SALE CONTR SUBS - SCHOOL|C,1
2,ATT CRIM SALE CONTR SUBSTANCE 3RD|C,109
2,ATT CRIM SALE CONTR SUBSTANCE 4TH|D,2
2,ATT CRIM SALE CONTR SUBSTANCE 5TH|E,39
2,ATT CRIM SALE MARIHUANA 2ND|E,1
2,ATT FORGERY 2ND|E,2
2,ATT GANG ASSAULT 2ND|D,1
2,ATT GRAND LARCENY - NOT AUTO 3RD|E,2
2,ATT MURDER 2ND|B,8
2,ATT PROM PRISON CONTRABAND 1ST|E,1
2,ATT RAPE 1ST|C,1
2,ATT ROBBERY 1ST|C,12
2,ATT ROBBERY 2ND|D,21
2,ATT ROBBERY 3RD|E,8
2,ATT SEXUAL ABUSE 1ST|E,4
2,AUTO STRIPPING 2ND|E,2
2,BURGLARY 1ST|B,3
2,BURGLARY 2ND|C,15
2,BURGLARY 3RD|D,31
2,CONSPIRACY 2ND|B,6
2,COURSE SEX CONDUCT-CHILD 1ST|B,3
2,CRIM CONTEMPT 1ST|E,6
2,CRIM MISCHIEF 2ND|D,1
2,CRIM MISCHIEF 3RD|E,2
2,CRIM NEGLIGENT HOMICIDE|E,1
2,CRIM POSS CONTR SUBSTANCE 1ST|A1,2
2,CRIM POSS CONTR SUBSTANCE 2ND|A2,34
2,CRIM POSS CONTR SUBSTANCE 3RD|B,47
2,CRIM POSS CONTR SUBSTANCE 4TH|C,7
2,CRIM POSS CONTR SUBSTANCE 5TH|D,40
2,CRIM POSS FORGED INST 2ND|D,8
2,CRIM POSS MARIHUANA 1ST|C,1
2,CRIM POSS MARIHUANA 2ND|D,1
2,CRIM POSS MARIHUANA 3RD|E,2
2,CRIM POSS STOLEN PROP 3RD|D,5
2,CRIM POSS STOLEN PROP 4TH|E,10
2,CRIM POSS WEAP 2ND|C,4
2,CRIM POSS WEAP 3RD SUB 1 2 3|D,6
2,CRIM POSS WEAP 3RD SUB 4-8 VFO|D,8
2,CRIM SALE CONTR SUBS - SCHOOL|B,7
2,CRIM SALE CONTR SUBSTANCE 1ST|A1,1
2,CRIM SALE CONTR SUBSTANCE 2ND|A2,28
2,CRIM SALE CONTR SUBSTANCE 3RD|B,110
2,CRIM SALE CONTR SUBSTANCE 4TH|C,1
2,CRIM SALE CONTR SUBSTANCE 5TH|D,142
2,CRIM SALE MARIHUANA 3RD|E,1
2,DWI:ALCOHOL/DRUGS-2ND OFFENSE|E,26
2,DWI:ALCOHOL/DRUGS-3RD OFFENSE|D,17
2,ESCAPE 1ST|D,1
2,FORGERY 2ND|D,7
2,GRAND LARCENY - AUTO 3RD|D,4
2,GRAND LARCENY - AUTO 4TH|E,2
2,GRAND LARCENY - NOT AUTO 2ND|C,4
