,compartment,outflow_to,total_population,time_step,crime_type
0,pre-trial,prison,1,1,AGG UNLIC OPER MV 1ST|E
1,pre-trial,prison,1,1,AGGRAVATED CRIM CONTEMPT|D
2,pre-trial,prison,1,1,ARSON 2ND|B
3,pre-trial,prison,10,1,ASSAULT 1ST|B
4,pre-trial,prison,12,1,ASSAULT 2ND|D
5,pre-trial,prison,1,1,ATT ARSON 2ND|C
6,pre-trial,prison,5,1,ATT ASSAULT 1ST|C
7,pre-trial,prison,4,1,ATT ASSAULT 2ND|E
8,pre-trial,prison,2,1,ATT BURGLARY 1ST|C
9,pre-trial,prison,15,1,ATT BURGLARY 2ND|D
10,pre-trial,prison,10,1,ATT BURGLARY 3RD|E
11,pre-trial,prison,21,1,ATT CRIM POSS CONTR SUBSTANCE 3RD|C
12,pre-trial,prison,5,1,ATT CRIM POSS CONTR SUBSTANCE 4TH|D
13,pre-trial,prison,12,1,ATT CRIM POSS CONTR SUBSTANCE 5TH|E
14,pre-trial,prison,5,1,ATT CRIM POSS FORGED INST 2ND|E
15,pre-trial,prison,1,1,ATT CRIM POSS WEAP 2ND|D
16,pre-trial,prison,2,1,ATT CRIM POSS WEAP 3RD SUB 1 2 3|E
17,pre-trial,prison,4,1,ATT CRIM POSS WEAP 3RD SUB 4-8 VFO|E
18,pre-trial,prison,81,1,ATT CRIM SALE CONTR SUBSTANCE 3RD|C
19,pre-trial,prison,1,1,ATT CRIM SALE CONTR SUBSTANCE 4TH|D
20,pre-trial,prison,16,1,ATT CRIM SALE CONTR SUBSTANCE 5TH|E
21,pre-trial,prison,2,1,ATT FORGERY 2ND|E
22,pre-trial,prison,2,1,ATT GRAND LARCENY - AUTO 3RD|E
23,pre-trial,prison,1,1,ATT JO - MURDER 2ND|B
24,pre-trial,prison,2,1,ATT KIDNAPPING 2ND|C
25,pre-trial,prison,1,1,ATT MANSLAUGHTER 1ST|C
26,pre-trial,prison,1,1,ATT MURDER 1ST|A1
27,pre-trial,prison,7,1,ATT MURDER 2ND|B
28,pre-trial,prison,1,1,ATT PROM PRISON CONTRABAND 1ST|E
29,pre-trial,prison,2,1,ATT RECKLESS ENDANGERMENT 1ST|E
30,pre-trial,prison,19,1,ATT ROBBERY 1ST|C
31,pre-trial,prison,14,1,ATT ROBBERY 2ND|D
32,pre-trial,prison,4,1,ATT ROBBERY 3RD|E
33,pre-trial,prison,5,1,ATT SEXUAL ABUSE 1ST|E
34,pre-trial,prison,1,1,ATT SODOMY 1ST|C
35,pre-trial,prison,4,1,AUTO STRIPPING 2ND|E
36,pre-trial,prison,1,1,BAIL JUMPING 1ST|D
37,pre-trial,prison,1,1,BAIL JUMPING 2ND|E
38,pre-trial,prison,5,1,BURGLARY 1ST|B
39,pre-trial,prison,1,1,BURGLARY 2ND SUB 2|C
40,pre-trial,prison,20,1,BURGLARY 2ND|C
41,pre-trial,prison,30,1,BURGLARY 3RD|D
42,pre-trial,prison,1,1,COERCION 1ST|D
43,pre-trial,prison,1,1,COMMERCIAL BRIBE REC 1ST|E
44,pre-trial,prison,7,1,CONSPIRACY 2ND|B
45,pre-trial,prison,1,1,CONSPIRACY 4TH|E
46,pre-trial,prison,1,1,COURSE SEX CONDUCT-CHILD 1ST|B
47,pre-trial,prison,7,1,CRIM CONTEMPT 1ST|E
48,pre-trial,prison,1,1,CRIM NEGLIGENT HOMICIDE|E
49,pre-trial,prison,1,1,CRIM POSS CONTR SUBSTANCE 1ST|A1
50,pre-trial,prison,22,1,CRIM POSS CONTR SUBSTANCE 2ND|A2
51,pre-trial,prison,45,1,CRIM POSS CONTR SUBSTANCE 3RD|B
52,pre-trial,prison,8,1,CRIM POSS CONTR SUBSTANCE 4TH|C
53,pre-trial,prison,37,1,CRIM POSS CONTR SUBSTANCE 5TH|D
54,pre-trial,prison,5,1,CRIM POSS FORGED INST 2ND|D
55,pre-trial,prison,3,1,CRIM POSS MARIHUANA 2ND|D
56,pre-trial,prison,1,1,CRIM POSS STOLEN PROP 2ND|C
57,pre-trial,prison,9,1,CRIM POSS STOLEN PROP 3RD|D
58,pre-trial,prison,14,1,CRIM POSS STOLEN PROP 4TH|E
59,pre-trial,prison,4,1,CRIM POSS WEAP 2ND|C
60,pre-trial,prison,3,1,CRIM POSS WEAP 3RD SUB 1 2 3|D
61,pre-trial,prison,10,1,CRIM POSS WEAP 3RD SUB 4-8 VFO|D
62,pre-trial,prison,8,1,CRIM SALE CONTR SUBS - SCHOOL|B
63,pre-trial,prison,21,1,CRIM SALE CONTR SUBSTANCE 2ND|A2
64,pre-trial,prison,93,1,CRIM SALE CONTR SUBSTANCE 3RD|B
65,pre-trial,prison,2,1,CRIM SALE CONTR SUBSTANCE 4TH|C
66,pre-trial,prison,81,1,CRIM SALE CONTR SUBSTANCE 5TH|D
67,pre-trial,prison,1,1,CRIM USE OF FIREARMS 1ST|B
68,pre-trial,prison,2,1,DRIV IMP/DRUGS-2ND OFFENSE|E
69,pre-trial,prison,16,1,DWI:ALCOHOL/DRUGS-2ND OFFENSE|E
70,pre-trial,prison,1,1,DWI:ALCOHOL/DRUGS-3RD OFFENSE|D
71,pre-trial,prison,1,1,ENTERPRISE CORRUPTION|B
72,pre-trial,prison,1,1,FORGERY 1ST|C
73,pre-trial,prison,3,1,FORGERY 2ND|D
74,pre-trial,prison,1,1,FORGERY OF VEHICLE ID. NUMBER|E
75,pre-trial,prison,3,1,GRAND LARCENY - AUTO 3RD|D
76,pre-trial,prison,5,1,GRAND LARCENY - AUTO 4TH|E
77,pre-trial,prison,4,1,GRAND LARCENY - NOT AUTO 2ND|C
78,pre-trial,prison,4,1,GRAND LARCENY - NOT AUTO 3RD|D
79,pre-trial,prison,19,1,GRAND LARCENY - NOT AUTO 4TH|E
80,pre-trial,prison,1,1,INCEST|E
81,pre-trial,prison,1,1,JO - MURDER 2ND|A1
82,pre-trial,prison,1,1,JO - ROBBERY 1ST|B
83,pre-trial,prison,9,1,MANSLAUGHTER 1ST|B
84,pre-trial,prison,3,1,MANSLAUGHTER 2ND|C
85,pre-trial,prison,2,1,MURDER 1ST|A1
86,pre-trial,prison,20,1,MURDER 2ND|A1
87,pre-trial,prison,2,1,OFFER FALSE INST FILING 1ST|E
88,pre-trial,prison,1,1,PERJURY 1ST|D
89,pre-trial,prison,1,1,PROM SEXUAL PERF BY A CHILD|D
90,pre-trial,prison,4,1,RAPE 1ST|B
91,pre-trial,prison,1,1,RAPE 2ND|D
92,pre-trial,prison,2,1,RAPE 3RD|E
93,pre-trial,prison,3,1,RECKLESS ENDANGERMENT 1ST|D
94,pre-trial,prison,22,1,ROBBERY 1ST|B
95,pre-trial,prison,1,1,ROBBERY 2ND SUB 2 3|C
96,pre-trial,prison,11,1,ROBBERY 2ND|C
97,pre-trial,prison,15,1,ROBBERY 3RD|D
98,pre-trial,prison,19,1,SEXUAL ABUSE 1ST|D
99,pre-trial,prison,6,1,SODOMY 1ST|B
100,pre-trial,prison,3,1,SODOMY 2ND|D
101,pre-trial,prison,2,1,SODOMY 3RD|E
102,pre-trial,prison,1,1,TRADEMARK COUNTERFEITING 2ND|E
103,pre-trial,prison,1,1,VEHICULAR MANSLAUGHTER 2ND|D
104,pre-trial,prison,2,2,AGG UNLIC OPER MV 1ST|E
105,pre-trial,prison,1,2,AGGRAVATED CRIM CONTEMPT|D
106,pre-trial,prison,2,2,ARSON 2ND|B
107,pre-trial,prison,1,2,ARSON 3RD|C
108,pre-trial,prison,7,2,ASSAULT 1ST|B
109,pre-trial,prison,11,2,ASSAULT 2ND|D
110,pre-trial,prison,5,2,ATT ASSAULT 1ST|C
111,pre-trial,prison,9,2,ATT ASSAULT 2ND|E
112,pre-trial,prison,1,2,ATT BAIL JUMPING 1ST|E
113,pre-trial,prison,2,2,ATT BURGLARY 1ST|C
114,pre-trial,prison,12,2,ATT BURGLARY 2ND|D
115,pre-trial,prison,14,2,ATT BURGLARY 3RD|E
116,pre-trial,prison,1,2,ATT CONSPIRACY 2ND|C
117,pre-trial,prison,12,2,ATT CRIM POSS CONTR SUBSTANCE 3RD|C
118,pre-trial,prison,8,2,ATT CRIM POSS CONTR SUBSTANCE 4TH|D
119,pre-trial,prison,20,2,ATT CRIM POSS CONTR SUBSTANCE 5TH|E
120,pre-trial,prison,3,2,ATT CRIM POSS FORGED INST 2ND|E
121,pre-trial,prison,1,2,ATT CRIM POSS STOLEN PROP 3RD|E
122,pre-trial,prison,1,2,ATT CRIM POSS WEAP 2ND|D
123,pre-trial,prison,3,2,ATT CRIM POSS WEAP 3RD SUB 1 2 3|E
124,pre-trial,prison,5,2,ATT CRIM POSS WEAP 3RD SUB 4-8 VFO|E
125,pre-trial,prison,1,2,ATT CRIM SALE CONTR SUBS - SCHOOL|C
126,pre-trial,prison,109,2,ATT CRIM SALE CONTR SUBSTANCE 3RD|C
127,pre-trial,prison,2,2,ATT CRIM SALE CONTR SUBSTANCE 4TH|D
128,pre-trial,prison,39,2,ATT CRIM SALE CONTR SUBSTANCE 5TH|E
129,pre-trial,prison,1,2,ATT CRIM SALE MARIHUANA 2ND|E
130,pre-trial,prison,2,2,ATT FORGERY 2ND|E
131,pre-trial,prison,1,2,ATT GANG ASSAULT 2ND|D
132,pre-trial,prison,2,2,ATT GRAND LARCENY - NOT AUTO 3RD|E
133,pre-trial,prison,8,2,ATT MURDER 2ND|B
134,pre-trial,prison,1,2,ATT PROM PRISON CONTRABAND 1ST|E
135,pre-trial,prison,1,2,ATT RAPE 1ST|C
136,pre-trial,prison,12,2,ATT ROBBERY 1ST|C
137,pre-trial,prison,21,2,ATT ROBBERY 2ND|D
138,pre-trial,prison,8,2,ATT ROBBERY 3RD|E
139,pre-trial,prison,4,2,ATT SEXUAL ABUSE 1ST|E
140,pre-trial,prison,2,2,AUTO STRIPPING 2ND|E
141,pre-trial,prison,3,2,BURGLARY 1ST|B
142,pre-trial,prison,15,2,BURGLARY 2ND|C
143,pre-trial,prison,31,2,BURGLARY 3RD|D
144,pre-trial,prison,6,2,CONSPIRACY 2ND|B
145,pre-trial,prison,3,2,COURSE SEX CONDUCT-CHILD 1ST|B
146,pre-trial,prison,6,2,CRIM CONTEMPT 1ST|E
147,pre-trial,prison,1,2,CRIM MISCHIEF 2ND|D
148,pre-trial,prison,2,2,CRIM MISCHIEF 3RD|E
149,pre-trial,prison,1,2,CRIM NEGLIGENT HOMICIDE|E
150,pre-trial,prison,2,2,CRIM POSS CONTR SUBSTANCE 1ST|A1
151,pre-trial,prison,34,2,CRIM POSS CONTR SUBSTANCE 2ND|A2
152,pre-trial,prison,47,2,CRIM POSS CONTR SUBSTANCE 3RD|B
153,pre-trial,prison,7,2,CRIM POSS CONTR SUBSTANCE 4TH|C
154,pre-trial,prison,40,2,CRIM POSS CONTR SUBSTANCE 5TH|D
155,pre-trial,prison,8,2,CRIM POSS FORGED INST 2ND|D
156,pre-trial,prison,1,2,CRIM POSS MARIHUANA 1ST|C
157,pre-trial,prison,1,2,CRIM POSS MARIHUANA 2ND|D
158,pre-trial,prison,2,2,CRIM POSS MARIHUANA 3RD|E
159,pre-trial,prison,5,2,CRIM POSS STOLEN PROP 3RD|D
160,pre-trial,prison,10,2,CRIM POSS STOLEN PROP 4TH|E
161,pre-trial,prison,4,2,CRIM POSS WEAP 2ND|C
162,pre-trial,prison,6,2,CRIM POSS WEAP 3RD SUB 1 2 3|D
