LOS,transition,CRIME
98,0.016129032258064516,ATT ROBBERY 3RD|E
100,0.01639344262295082,ATT ROBBERY 3RD|E
106,0.016666666666666666,ATT ROBBERY 3RD|E
109,0.01694915254237288,ATT ROBBERY 3RD|E
112,0.034482758620689655,ATT ROBBERY 3RD|E
131,0.017857142857142856,ATT ROBBERY 3RD|E
166,0.01818181818181818,ATT ROBBERY 3RD|E
175,0.018518518518518517,ATT ROBBERY 3RD|E
182,0.018867924528301886,ATT ROBBERY 3RD|E
184,0.038461538461538464,ATT ROBBERY 3RD|E
188,0.02,ATT ROBBERY 3RD|E
213,0.02040816326530612,ATT ROBBERY 3RD|E
241,0.020833333333333332,ATT ROBBERY 3RD|E
248,0.02127659574468085,ATT ROBBERY 3RD|E
253,0.021739130434782608,ATT ROBBERY 3RD|E
258,0.022222222222222223,ATT ROBBERY 3RD|E
265,0.022727272727272728,ATT ROBBERY 3RD|E
279,0.023255813953488372,ATT ROBBERY 3RD|E
290,0.023809523809523808,ATT ROBBERY 3RD|E
299,0.024390243902439025,ATT ROBBERY 3RD|E
337,0.025,ATT ROBBERY 3RD|E
338,0.02564102564102564,ATT ROBBERY 3RD|E
341,0.02631578947368421,ATT ROBBERY 3RD|E
348,0.02702702702702703,ATT ROBBERY 3RD|E
350,0.027777777777777776,ATT ROBBERY 3RD|E
361,0.02857142857142857,ATT ROBBERY 3RD|E
404,0.029411764705882353,ATT ROBBERY 3RD|E
405,0.030303030303030304,ATT ROBBERY 3RD|E
406,0.03125,ATT ROBBERY 3RD|E
419,0.03225806451612903,ATT ROBBERY 3RD|E
425,0.03333333333333333,ATT ROBBERY 3RD|E
427,0.034482758620689655,ATT ROBBERY 3RD|E
454,0.03571428571428571,ATT ROBBERY 3RD|E
458,0.037037037037037035,ATT ROBBERY 3RD|E
461,0.038461538461538464,ATT ROBBERY 3RD|E
479,0.08,ATT ROBBERY 3RD|E
489,0.043478260869565216,ATT ROBBERY 3RD|E
502,0.045454545454545456,ATT ROBBERY 3RD|E
511,0.047619047619047616,ATT ROBBERY 3RD|E
513,0.05,ATT ROBBERY 3RD|E
553,0.05263157894736842,ATT ROBBERY 3RD|E
569,0.05555555555555555,ATT ROBBERY 3RD|E
581,0.058823529411764705,ATT ROBBERY 3RD|E
607,0.0625,ATT ROBBERY 3RD|E
608,0.06666666666666667,ATT ROBBERY 3RD|E
612,0.07142857142857142,ATT ROBBERY 3RD|E
616,0.07692307692307693,ATT ROBBERY 3RD|E
651,0.08333333333333333,ATT ROBBERY 3RD|E
687,0.09090909090909091,ATT ROBBERY 3RD|E
696,0.1,ATT ROBBERY 3RD|E
755,0.1111111111111111,ATT ROBBERY 3RD|E
862,0.125,ATT ROBBERY 3RD|E
957,0.14285714285714285,ATT ROBBERY 3RD|E
1038,0.16666666666666666,ATT ROBBERY 3RD|E
1040,0.2,ATT ROBBERY 3RD|E
1078,0.25,ATT ROBBERY 3RD|E
1114,0.3333333333333333,ATT ROBBERY 3RD|E
1192,0.5,ATT ROBBERY 3RD|E
1290,1.0,ATT ROBBERY 3RD|E
110,0.18181818181818182,CRIM POSS MARIHUANA 3RD|E
112,0.1111111111111111,CRIM POSS MARIHUANA 3RD|E
113,0.125,CRIM POSS MARIHUANA 3RD|E
231,0.14285714285714285,CRIM POSS MARIHUANA 3RD|E
252,0.16666666666666666,CRIM POSS MARIHUANA 3RD|E
347,0.2,CRIM POSS MARIHUANA 3RD|E
384,0.25,CRIM POSS MARIHUANA 3RD|E
491,0.3333333333333333,CRIM POSS MARIHUANA 3RD|E
495,0.5,CRIM POSS MARIHUANA 3RD|E
505,1.0,CRIM POSS MARIHUANA 3RD|E
31,0.002173913043478261,BURGLARY 3RD|D
32,0.002178649237472767,BURGLARY 3RD|D
48,0.002183406113537118,BURGLARY 3RD|D
60,0.002188183807439825,BURGLARY 3RD|D
75,0.0043859649122807015,BURGLARY 3RD|D
86,0.0022026431718061676,BURGLARY 3RD|D
90,0.002207505518763797,BURGLARY 3RD|D
91,0.0022123893805309734,BURGLARY 3RD|D
96,0.0022172949002217295,BURGLARY 3RD|D
100,0.0022222222222222222,BURGLARY 3RD|D
103,0.0022271714922048997,BURGLARY 3RD|D
104,0.002232142857142857,BURGLARY 3RD|D
105,0.006711409395973154,BURGLARY 3RD|D
106,0.013513513513513514,BURGLARY 3RD|D
107,0.00228310502283105,BURGLARY 3RD|D
108,0.002288329519450801,BURGLARY 3RD|D
109,0.013761467889908258,BURGLARY 3RD|D
110,0.020930232558139535,BURGLARY 3RD|D
112,0.004750593824228029,BURGLARY 3RD|D
113,0.007159904534606206,BURGLARY 3RD|D
114,0.002403846153846154,BURGLARY 3RD|D
115,0.004819277108433735,BURGLARY 3RD|D
116,0.007263922518159807,BURGLARY 3RD|D
117,0.004878048780487805,BURGLARY 3RD|D
121,0.0024509803921568627,BURGLARY 3RD|D
131,0.004914004914004914,BURGLARY 3RD|D
136,0.0024691358024691358,BURGLARY 3RD|D
138,0.0049504950495049506,BURGLARY 3RD|D
141,0.0024875621890547263,BURGLARY 3RD|D
144,0.0024937655860349127,BURGLARY 3RD|D
146,0.0025,BURGLARY 3RD|D
147,0.002506265664160401,BURGLARY 3RD|D
154,0.002512562814070352,BURGLARY 3RD|D
157,0.0025188916876574307,BURGLARY 3RD|D
161,0.0025252525252525255,BURGLARY 3RD|D
164,0.002531645569620253,BURGLARY 3RD|D
167,0.0025380710659898475,BURGLARY 3RD|D
168,0.005089058524173028,BURGLARY 3RD|D
171,0.0025575447570332483,BURGLARY 3RD|D
172,0.005128205128205128,BURGLARY 3RD|D
179,0.002577319587628866,BURGLARY 3RD|D
184,0.002583979328165375,BURGLARY 3RD|D
190,0.0025906735751295338,BURGLARY 3RD|D
196,0.005194805194805195,BURGLARY 3RD|D
197,0.0026109660574412533,BURGLARY 3RD|D
198,0.002617801047120419,BURGLARY 3RD|D
201,0.0026246719160104987,BURGLARY 3RD|D
203,0.002631578947368421,BURGLARY 3RD|D
209,0.005277044854881266,BURGLARY 3RD|D
210,0.002652519893899204,BURGLARY 3RD|D
212,0.0026595744680851063,BURGLARY 3RD|D
214,0.005333333333333333,BURGLARY 3RD|D
220,0.00804289544235925,BURGLARY 3RD|D
224,0.002702702702702703,BURGLARY 3RD|D
225,0.0027100271002710027,BURGLARY 3RD|D
226,0.005434782608695652,BURGLARY 3RD|D
230,0.00819672131147541,BURGLARY 3RD|D
231,0.005509641873278237,BURGLARY 3RD|D
233,0.002770083102493075,BURGLARY 3RD|D
234,0.005555555555555556,BURGLARY 3RD|D
237,0.002793296089385475,BURGLARY 3RD|D
238,0.0056022408963585435,BURGLARY 3RD|D
241,0.008450704225352112,BURGLARY 3RD|D
244,0.005681818181818182,BURGLARY 3RD|D
246,0.002857142857142857,BURGLARY 3RD|D
252,0.0057306590257879654,BURGLARY 3RD|D
254,0.002881844380403458,BURGLARY 3RD|D
255,0.002890173410404624,BURGLARY 3RD|D
258,0.002898550724637681,BURGLARY 3RD|D
261,0.005813953488372093,BURGLARY 3RD|D
262,0.0029239766081871343,BURGLARY 3RD|D
263,0.002932551319648094,BURGLARY 3RD|D
265,0.0029411764705882353,BURGLARY 3RD|D
266,0.0029498525073746312,BURGLARY 3RD|D
269,0.0029585798816568047,BURGLARY 3RD|D
271,0.002967359050445104,BURGLARY 3RD|D
274,0.002976190476190476,BURGLARY 3RD|D
277,0.0029850746268656717,BURGLARY 3RD|D
278,0.0029940119760479044,BURGLARY 3RD|D
280,0.003003003003003003,BURGLARY 3RD|D
283,0.0030120481927710845,BURGLARY 3RD|D
284,0.0030211480362537764,BURGLARY 3RD|D
289,0.0030303030303030303,BURGLARY 3RD|D
293,0.0060790273556231,BURGLARY 3RD|D
302,0.0030581039755351682,BURGLARY 3RD|D
304,0.003067484662576687,BURGLARY 3RD|D
305,0.006153846153846154,BURGLARY 3RD|D
307,0.0030959752321981426,BURGLARY 3RD|D
311,0.006211180124223602,BURGLARY 3RD|D
313,0.00625,BURGLARY 3RD|D
314,0.0031446540880503146,BURGLARY 3RD|D
315,0.0031545741324921135,BURGLARY 3RD|D
316,0.006329113924050633,BURGLARY 3RD|D
317,0.0031847133757961785,BURGLARY 3RD|D
322,0.003194888178913738,BURGLARY 3RD|D
330,0.003205128205128205,BURGLARY 3RD|D
335,0.003215434083601286,BURGLARY 3RD|D
339,0.0032258064516129032,BURGLARY 3RD|D
342,0.003236245954692557,BURGLARY 3RD|D
343,0.006493506493506494,BURGLARY 3RD|D
345,0.0032679738562091504,BURGLARY 3RD|D
348,0.006557377049180328,BURGLARY 3RD|D
349,0.0033003300330033004,BURGLARY 3RD|D
350,0.0033112582781456954,BURGLARY 3RD|D
353,0.006644518272425249,BURGLARY 3RD|D
356,0.0033444816053511705,BURGLARY 3RD|D
357,0.003355704697986577,BURGLARY 3RD|D
360,0.003367003367003367,BURGLARY 3RD|D
363,0.0033783783783783786,BURGLARY 3RD|D
367,0.003389830508474576,BURGLARY 3RD|D
368,0.006802721088435374,BURGLARY 3RD|D
369,0.003424657534246575,BURGLARY 3RD|D
370,0.003436426116838488,BURGLARY 3RD|D
373,0.0034482758620689655,BURGLARY 3RD|D
375,0.0034602076124567475,BURGLARY 3RD|D
377,0.003472222222222222,BURGLARY 3RD|D
378,0.003484320557491289,BURGLARY 3RD|D
384,0.0034965034965034965,BURGLARY 3RD|D
392,0.0035087719298245615,BURGLARY 3RD|D
394,0.0035211267605633804,BURGLARY 3RD|D
396,0.0035335689045936395,BURGLARY 3RD|D
397,0.0035460992907801418,BURGLARY 3RD|D
398,0.0035587188612099642,BURGLARY 3RD|D
402,0.0035714285714285713,BURGLARY 3RD|D
403,0.007168458781362007,BURGLARY 3RD|D
404,0.007220216606498195,BURGLARY 3RD|D
405,0.0036363636363636364,BURGLARY 3RD|D
410,0.0036496350364963502,BURGLARY 3RD|D
417,0.003663003663003663,BURGLARY 3RD|D
420,0.003676470588235294,BURGLARY 3RD|D
423,0.007380073800738007,BURGLARY 3RD|D
426,0.0037174721189591076,BURGLARY 3RD|D
433,0.011194029850746268,BURGLARY 3RD|D
441,0.0037735849056603774,BURGLARY 3RD|D
442,0.003787878787878788,BURGLARY 3RD|D
455,0.0038022813688212928,BURGLARY 3RD|D
459,0.003816793893129771,BURGLARY 3RD|D
472,0.007662835249042145,BURGLARY 3RD|D
475,0.003861003861003861,BURGLARY 3RD|D
478,0.003875968992248062,BURGLARY 3RD|D
479,0.0038910505836575876,BURGLARY 3RD|D
482,0.00390625,BURGLARY 3RD|D
486,0.00392156862745098,BURGLARY 3RD|D
487,0.003937007874015748,BURGLARY 3RD|D
489,0.007905138339920948,BURGLARY 3RD|D
492,0.00398406374501992,BURGLARY 3RD|D
493,0.004,BURGLARY 3RD|D
499,0.012048192771084338,BURGLARY 3RD|D
500,0.0040650406504065045,BURGLARY 3RD|D
503,0.004081632653061225,BURGLARY 3RD|D
508,0.004098360655737705,BURGLARY 3RD|D
509,0.00411522633744856,BURGLARY 3RD|D
515,0.008264462809917356,BURGLARY 3RD|D
521,0.008333333333333333,BURGLARY 3RD|D
522,0.004201680672268907,BURGLARY 3RD|D
524,0.004219409282700422,BURGLARY 3RD|D
527,0.00847457627118644,BURGLARY 3RD|D
531,0.004273504273504274,BURGLARY 3RD|D
532,0.008583690987124463,BURGLARY 3RD|D
538,0.004329004329004329,BURGLARY 3RD|D
539,0.004347826086956522,BURGLARY 3RD|D
541,0.004366812227074236,BURGLARY 3RD|D
542,0.0043859649122807015,BURGLARY 3RD|D
543,0.004405286343612335,BURGLARY 3RD|D
544,0.004424778761061947,BURGLARY 3RD|D
546,0.0044444444444444444,BURGLARY 3RD|D
549,0.008928571428571428,BURGLARY 3RD|D
552,0.0045045045045045045,BURGLARY 3RD|D
554,0.004524886877828055,BURGLARY 3RD|D
557,0.00909090909090909,BURGLARY 3RD|D
559,0.0045871559633027525,BURGLARY 3RD|D
560,0.004608294930875576,BURGLARY 3RD|D
563,0.004629629629629629,BURGLARY 3RD|D
567,0.004651162790697674,BURGLARY 3RD|D
568,0.004672897196261682,BURGLARY 3RD|D
569,0.004694835680751174,BURGLARY 3RD|D
572,0.0047169811320754715,BURGLARY 3RD|D
573,0.004739336492890996,BURGLARY 3RD|D
576,0.009523809523809525,BURGLARY 3RD|D
580,0.004807692307692308,BURGLARY 3RD|D
582,0.004830917874396135,BURGLARY 3RD|D
583,0.0048543689320388345,BURGLARY 3RD|D
584,0.00975609756097561,BURGLARY 3RD|D
586,0.0049261083743842365,BURGLARY 3RD|D
587,0.01485148514851485,BURGLARY 3RD|D
588,0.01507537688442211,BURGLARY 3RD|D
590,0.00510204081632653,BURGLARY 3RD|D
594,0.005128205128205128,BURGLARY 3RD|D
595,0.005154639175257732,BURGLARY 3RD|D
597,0.0051813471502590676,BURGLARY 3RD|D
598,0.005208333333333333,BURGLARY 3RD|D
600,0.005235602094240838,BURGLARY 3RD|D
604,0.005263157894736842,BURGLARY 3RD|D
606,0.005291005291005291,BURGLARY 3RD|D
608,0.005319148936170213,BURGLARY 3RD|D
609,0.0053475935828877,BURGLARY 3RD|D
610,0.005376344086021506,BURGLARY 3RD|D
611,0.005405405405405406,BURGLARY 3RD|D
613,0.005434782608695652,BURGLARY 3RD|D
615,0.01092896174863388,BURGLARY 3RD|D
617,0.016574585635359115,BURGLARY 3RD|D
623,0.011235955056179775,BURGLARY 3RD|D
630,0.011363636363636364,BURGLARY 3RD|D
632,0.005747126436781609,BURGLARY 3RD|D
643,0.005780346820809248,BURGLARY 3RD|D
644,0.005813953488372093,BURGLARY 3RD|D
645,0.017543859649122806,BURGLARY 3RD|D
