LOS,transition,CRIME
150,0.011764705882352941,BURGLARY 1ST|B
863,0.011904761904761904,BURGLARY 1ST|B
1020,0.012048192771084338,BURGLARY 1ST|B
1096,0.012195121951219513,BURGLARY 1ST|B
1150,0.012345679012345678,BURGLARY 1ST|B
1218,0.0125,BURGLARY 1ST|B
1294,0.012658227848101266,BURGLARY 1ST|B
1308,0.01282051282051282,BURGLARY 1ST|B
1327,0.012987012987012988,BURGLARY 1ST|B
1351,0.013157894736842105,BURGLARY 1ST|B
1373,0.013333333333333334,BURGLARY 1ST|B
1441,0.013513513513513514,BURGLARY 1ST|B
1512,0.0136986301369863,BURGLARY 1ST|B
1531,0.013888888888888888,BURGLARY 1ST|B
1540,0.014084507042253521,BURGLARY 1ST|B
1543,0.014285714285714285,BURGLARY 1ST|B
1557,0.014492753623188406,BURGLARY 1ST|B
1628,0.014705882352941176,BURGLARY 1ST|B
1730,0.014925373134328358,BURGLARY 1ST|B
1796,0.015151515151515152,BURGLARY 1ST|B
1826,0.015384615384615385,BURGLARY 1ST|B
1847,0.015625,BURGLARY 1ST|B
1877,0.015873015873015872,BURGLARY 1ST|B
1924,0.016129032258064516,BURGLARY 1ST|B
2011,0.01639344262295082,BURGLARY 1ST|B
2025,0.016666666666666666,BURGLARY 1ST|B
2128,0.01694915254237288,BURGLARY 1ST|B
2180,0.017241379310344827,BURGLARY 1ST|B
2202,0.017543859649122806,BURGLARY 1ST|B
2330,0.017857142857142856,BURGLARY 1ST|B
2341,0.01818181818181818,BURGLARY 1ST|B
2385,0.018518518518518517,BURGLARY 1ST|B
2406,0.018867924528301886,BURGLARY 1ST|B
2434,0.019230769230769232,BURGLARY 1ST|B
2472,0.0196078431372549,BURGLARY 1ST|B
2519,0.02,BURGLARY 1ST|B
2614,0.02040816326530612,BURGLARY 1ST|B
2640,0.020833333333333332,BURGLARY 1ST|B
2868,0.02127659574468085,BURGLARY 1ST|B
2872,0.021739130434782608,BURGLARY 1ST|B
2877,0.022222222222222223,BURGLARY 1ST|B
3049,0.022727272727272728,BURGLARY 1ST|B
3098,0.023255813953488372,BURGLARY 1ST|B
3315,0.023809523809523808,BURGLARY 1ST|B
3343,0.024390243902439025,BURGLARY 1ST|B
3452,0.025,BURGLARY 1ST|B
3744,0.02564102564102564,BURGLARY 1ST|B
3771,0.02631578947368421,BURGLARY 1ST|B
3776,0.02702702702702703,BURGLARY 1ST|B
3870,0.027777777777777776,BURGLARY 1ST|B
3897,0.02857142857142857,BURGLARY 1ST|B
3953,0.029411764705882353,BURGLARY 1ST|B
4019,0.030303030303030304,BURGLARY 1ST|B
4053,0.03125,BURGLARY 1ST|B
4160,0.03225806451612903,BURGLARY 1ST|B
4171,0.03333333333333333,BURGLARY 1ST|B
4174,0.034482758620689655,BURGLARY 1ST|B
4301,0.03571428571428571,BURGLARY 1ST|B
4331,0.037037037037037035,BURGLARY 1ST|B
4727,0.038461538461538464,BURGLARY 1ST|B
5163,0.04,BURGLARY 1ST|B
5313,0.041666666666666664,BURGLARY 1ST|B
5504,0.043478260869565216,BURGLARY 1ST|B
5532,0.045454545454545456,BURGLARY 1ST|B
5675,0.047619047619047616,BURGLARY 1ST|B
5734,0.05,BURGLARY 1ST|B
5806,0.05263157894736842,BURGLARY 1ST|B
5881,0.05555555555555555,BURGLARY 1ST|B
5966,0.058823529411764705,BURGLARY 1ST|B
6340,0.0625,BURGLARY 1ST|B
6967,0.06666666666666667,BURGLARY 1ST|B
7057,0.07142857142857142,BURGLARY 1ST|B
7210,0.07692307692307693,BURGLARY 1ST|B
7277,0.08333333333333333,BURGLARY 1ST|B
7308,0.09090909090909091,BURGLARY 1ST|B
7373,0.1,BURGLARY 1ST|B
7446,0.1111111111111111,BURGLARY 1ST|B
7507,0.125,BURGLARY 1ST|B
7585,0.14285714285714285,BURGLARY 1ST|B
8268,0.16666666666666666,BURGLARY 1ST|B
8505,0.2,BURGLARY 1ST|B
10769,0.25,BURGLARY 1ST|B
10950,1.0,BURGLARY 1ST|B
